iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
154,12415.7,1,53.8974,551.416,0.874159,3.14011,0.520979,0.567564,0.0753764,0.438922,0.848244,0.210693
155,12435.9,1,54.0748,563.231,0.872669,3.16978,0.518835,0.55606,0.076546,0.427808,0.781169,0.212855
156,12359.5,1,53.8009,551.836,0.871417,3.11555,0.523418,0.554062,0.0746078,0.416976,0.870305,0.208986
157,12379.2,1,53.6065,544.033,0.864273,3.09565,0.515369,0.56133,0.0727187,0.406418,1.08133,0.204193
158,12396.7,1,53.6266,536.586,0.865674,3.14713,0.518441,0.547117,0.0745147,0.396127,1.12281,0.202837
159,12440.1,1,53.6147,533.56,0.864144,3.10644,0.524063,0.595022,0.0746804,0.386097,1.02114,0.206168
160,12374,1,53.7087,525.152,0.866531,3.24726,0.526766,0.610783,0.0727895,0.38615,0.79189,0.210603
161,12411.4,1,54.1013,513.943,0.865283,3.21662,0.513428,0.598835,0.0709464,0.410769,0.915152,0.208109
162,12436.9,1,54.2961,518.159,0.869686,3.09561,0.517432,0.583672,0.0734225,0.403794,0.874972,0.213198
163,12436.3,1,54.2462,534.089,0.870569,3.16476,0.528241,0.582584,0.0716164,0.39357,0.865686,0.211996
164,12444.7,1,54.1987,520.053,0.872807,3.08332,0.519797,0.607586,0.075163,0.388132,0.861145,0.212026
165,12387.8,1,54.5077,529.708,0.873536,3.13343,0.519686,0.592201,0.0780821,0.378304,0.676314,0.21632
166,12396.2,1,54.486,529.886,0.874918,3.11332,0.540136,0.582783,0.076105,0.368725,0.752594,0.214131
167,12343.1,1,53.9727,527.448,0.873648,3.13027,0.52646,0.571739,0.0767995,0.374852,0.820295,0.211296
168,12343.2,1,55.0296,531.196,0.872659,3.02885,0.515128,0.585736,0.0748548,0.36536,0.871355,0.210245
169,12338,1,54.1987,528.653,0.877312,3.04816,0.505655,0.591231,0.0729595,0.356109,0.971513,0.210847
170,12325.9,1,54.7177,506.956,0.871869,3.10607,0.523943,0.580108,0.0711121,0.361667,0.66735,0.218658
171,12403.9,1,54.595,508.906,0.87388,3.09999,0.524121,0.621987,0.0705969,0.36786,0.827281,0.211877
172,12349.2,1,54.6685,526.032,0.875374,3.06853,0.532802,0.606238,0.0688093,0.389144,0.703631,0.21398
173,12320.2,1,55.0068,523.575,0.881333,3.0906,0.537585,0.598863,0.067293,0.380519,0.775215,0.211073
174,12354.3,1,55.3017,536.873,0.880108,3.02294,0.523973,0.5837,0.0675007,0.385151,0.812397,0.212816
175,12329.9,1,54.9872,548.452,0.881053,3.07268,0.517452,0.578869,0.0657915,0.375399,0.809211,0.213689
176,12280.3,1,54.7183,549.717,0.87785,3.04229,0.515434,0.565957,0.0641256,0.367317,0.753177,0.215039
177,12235.9,1,54.658,557.91,0.880061,2.97175,0.522145,0.551626,0.0625019,0.359081,0.721828,0.21458
178,12280.9,1,54.6464,537.917,0.878002,2.9679,0.513788,0.548273,0.0609193,0.351905,0.881245,0.212544
179,12323.6,1,54.835,543.141,0.878774,2.86538,0.521582,0.564088,0.0593768,0.370361,0.988499,0.208979
180,12316.5,1,54.4979,549.56,0.882335,2.96684,0.517593,0.565994,0.0578734,0.382266,0.992309,0.209949
181,12295.2,1,54.2603,530.579,0.883961,2.9543,0.522985,0.575787,0.0587462,0.372587,1.10325,0.203391
182,12346.3,1,54.3787,539.325,0.883197,2.90251,0.536691,0.561208,0.0627146,0.363153,1.28358,0.197892
183,12288,1,53.9312,543.835,0.880104,2.87412,0.53917,0.556049,0.0611266,0.353957,1.13843,0.204594
184,12324.2,1,54.8816,542.481,0.881861,2.88866,0.534488,0.567434,0.0602041,0.344995,1.08988,0.206232
185,12278.5,1,54.2467,534.063,0.881941,2.86978,0.531069,0.553066,0.0602499,0.350927,1.18587,0.203313
186,12290.9,1,54.308,517.157,0.883147,2.83098,0.51845,0.550498,0.062388,0.378187,1.29889,0.197266
187,12355.5,1,55.4439,514.022,0.880394,2.94623,0.505323,0.552114,0.0619522,0.383393,1.08665,0.20563
188,12280.8,1,55.6192,512.022,0.877959,2.91635,0.49898,0.551289,0.0640864,0.373685,1.08133,0.203616
189,12380.2,1,55.424,535.384,0.877238,2.95768,0.494708,0.551819,0.0653577,0.364223,1.13112,0.206334
190,12320.2,1,55.1786,516.623,0.878554,2.94627,0.494138,0.537847,0.0699439,0.373181,0.981373,0.205421
191,12320.8,1,54.6135,512.172,0.878018,2.93961,0.499531,0.524228,0.0681729,0.388543,1.02293,0.206864
192,12386.3,1,54.994,506.653,0.878806,2.8551,0.505642,0.533585,0.0671575,0.387707,1.08223,0.206807
193,12318.3,1,55.765,498.391,0.883872,2.72254,0.498795,0.538789,0.065457,0.37789,1.06483,0.207854
194,12352.6,1,55.414,497.189,0.880477,2.72708,0.496966,0.542762,0.0644156,0.368321,1.18717,0.203355
195,12345.2,1,55.0265,524.525,0.879678,2.73418,0.49011,0.529019,0.0658709,0.385096,1.36735,0.195169
196,12314.3,1,54.7315,529.347,0.879362,2.75084,0.501385,0.549656,0.064203,0.375345,1.21834,0.200845
197,12336.3,1,55.6576,511.383,0.876268,2.82745,0.503547,0.541831,0.0625773,0.382149,1.25844,0.195489
198,12343.7,1,55.2188,527.681,0.876414,2.82737,0.501157,0.551884,0.0624005,0.389472,1.16871,0.200599
199,12368.1,1,55.0964,523.153,0.87932,2.76333,0.503911,0.557632,0.0660647,0.396074,1.21126,0.20029
